title,tmdb_id,genres,languages,production_countries,release_date,overview
This Is the Life,97399,"['Documentary', 'Music']",['English'],['United States of America'],2008-02-08,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform."
To All the Boys: Always and Forever,614409,"['Romance', 'Comedy', 'Drama']","['English', 'Korean']",['United States of America'],2021-02-12,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.
Young Hearts,1232449,"['Drama', 'Family']","['Dutch', 'French']","['Belgium', 'Netherlands']",2024-10-10,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality."
Little Fish,586791,"['Romance', 'Science Fiction', 'Drama']",['English'],"['Canada', 'United States of America']",2021-02-05,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.
Two of Us,1259826,"['Drama', 'Thriller']",['Tagalog'],['Philippines'],2024-04-10,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies."
Atlantis,15466,"['Music', 'Documentary']",['French'],"['France', 'Italy']",1991-08-21,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it."
Preparations to Be Together,727002,['Drama'],"['English', 'Hungarian']",['Hungary'],2020-09-24,"Márta, a 40-year-old neurosurgeon, falls in love. She leaves her shining American career behind and returns to Budapest to start a new life with the man she loves. But she waits for him at the Liberty Bridge in vain - he does not appear at their rendezvous. Márta starts to search for him desperately, but when she finally finds him, the love of her life claims that they have never met before."
Your Name Engraved Herein,719410,"['Romance', 'Drama']","['Mandarin', 'English']","['Taiwan', 'United States of America']",2020-09-30,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma."
Sylvie’s Love,584288,"['Romance', 'Drama']",['English'],['United States of America'],2020-01-27,"When a young woman meets an aspiring saxophonist in her father’s record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success."
"Ariana Grande: Excuse Me, I Love You",774372,"['Music', 'Documentary']",['English'],['United States of America'],2020-12-21,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.
Museum Town,576552,['Documentary'],['English'],['United States of America'],2019-03-10,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.
Wild Mountain Thyme,628333,"['Romance', 'Drama']",['English'],"['Ireland', 'United Kingdom']",2020-12-11,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams."
My Psychedelic Love Story,750595,['Documentary'],['English'],['United States of America'],2020-10-22,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.
